axis,ad,process_model,dataset_name,f1,precision,recall
Case,Bpic12DAE,BPIC12,bpic12-0.3-1,0.34730538922155685,1.0,0.21014492753623187
Case,Bpic12DAE-Leaky-10,BPIC12,bpic12-0.3-1,0.32727272727272727,1.0,0.1956521739130435
Case,Bpic12DAE-Leaky-100,BPIC12,bpic12-0.3-1,0.44943820224719105,1.0,0.2898550724637681
Case,Bpic12DAE-Leaky-150,BPIC12,bpic12-0.3-1,0.29629629629629634,1.0,0.17391304347826086
Case,Bpic12DAE-Leaky-200,BPIC12,bpic12-0.3-1,0.48351648351648346,1.0,0.3188405797101449
Case,Bpic12DAE-Leaky-25,BPIC12,bpic12-0.3-1,0.27499999999999997,1.0,0.15942028985507245
Case,Bpic12DAE-Leaky-250,BPIC12,bpic12-0.3-1,0.1476510067114094,1.0,0.07971014492753623
Case,Bpic12DAE-Leaky-300,BPIC12,bpic12-0.3-1,0.7733333333333333,1.0,0.6304347826086957
Case,Bpic12DAE-Leaky-350,BPIC12,bpic12-0.3-1,0.23076923076923078,1.0,0.13043478260869565
Case,Bpic12DAE-Leaky-400,BPIC12,bpic12-0.3-1,0.25316455696202533,1.0,0.14492753623188406
Case,Bpic12DAE-Leaky-50,BPIC12,bpic12-0.3-1,0.2193548387096774,1.0,0.12318840579710146
