axis,ad,process_model,dataset_name,f1,precision,recall
Case,GiganticDAE,Gigantic,gigantic-0.3-1,0.3611281326105743,0.8,0.23319805194805193
Case,GiganticDAE-Leaky-10,Gigantic,gigantic-0.3-1,0.2542372881355932,0.5,0.17045454545454544
Case,GiganticDAE-Leaky-100,Gigantic,gigantic-0.3-1,0.4375761178682177,0.69,0.3203733766233766
Case,GiganticDAE-Leaky-150,Gigantic,gigantic-0.3-1,0.3402985074626866,0.6,0.2375
Case,GiganticDAE-Leaky-200,Gigantic,gigantic-0.3-1,0.33957623912220963,0.625,0.23311688311688314
Case,GiganticDAE-Leaky-25,Gigantic,gigantic-0.3-1,0.3315145401114084,0.5571428571428572,0.23595779220779223
Case,GiganticDAE-Leaky-250,Gigantic,gigantic-0.3-1,0.2757201646090535,0.5,0.1903409090909091
Case,GiganticDAE-Leaky-300,Gigantic,gigantic-0.3-1,0.4373057771318213,0.6637931034482758,0.3260551948051948
Case,GiganticDAE-Leaky-50,Gigantic,gigantic-0.3-1,0.32028177603340025,0.5769230769230769,0.22167207792207794
Case,GiganticLTNFROZEN-10,Gigantic,gigantic-0.3-1,0.5488804908622568,0.6084739545121056,0.4999188311688312
Case,GiganticLTNFROZEN-100,Gigantic,gigantic-0.3-1,0.4979020979020979,0.6666666666666666,0.3973214285714286
Case,GiganticLTNFROZEN-150,Gigantic,gigantic-0.3-1,0.4807910233112048,0.6578947368421053,0.3788149350649351
Case,GiganticLTNFROZEN-200,Gigantic,gigantic-0.3-1,0.5349851893363221,0.5875241779497098,0.4910714285714286
Case,GiganticLTNFROZEN-25,Gigantic,gigantic-0.3-1,0.4842316700516942,0.6419753086419753,0.3887175324675325
Case,GiganticLTNFROZEN-250,Gigantic,gigantic-0.3-1,0.5542757590694152,0.6177994902293967,0.5025974025974026
Case,GiganticLTNFROZEN-300,Gigantic,gigantic-0.3-1,0.4906286131564534,0.6201923076923077,0.40584415584415584
Case,GiganticLTNFROZEN-50,Gigantic,gigantic-0.3-1,0.4809284028324155,0.65,0.3816558441558442
