axis,ad,process_model,dataset_name,f1,precision,recall
Case,HugeDAE,Huge,huge-0.3-1,0.4656336201965246,0.925,0.31112507856693905
Case,HugeDAE-Leaky-10,Huge,huge-0.3-1,0.5445994227003896,0.6985294117647058,0.44626021370207414
Case,HugeDAE-Leaky-100,Huge,huge-0.3-1,0.2916041290164487,0.85,0.1759899434318039
Case,HugeDAE-Leaky-150,Huge,huge-0.3-1,0.46058046738002356,0.8863636363636364,0.31112507856693905
Case,HugeDAE-Leaky-200,Huge,huge-0.3-1,0.23546194002670878,0.9,0.13544940289126337
Case,HugeDAE-Leaky-25,Huge,huge-0.3-1,0.24727746984023477,0.7272727272727273,0.14896291640477688
Case,HugeDAE-Leaky-250,Huge,huge-0.3-1,0.26709144136387125,0.75,0.1624764299182904
Case,HugeDAE-Leaky-300,Huge,huge-0.3-1,0.37184855622437407,0.7857142857142857,0.24355751099937148
Case,HugeDAE-Leaky-50,Huge,huge-0.3-1,0.27193351567431095,0.8333333333333333,0.1624764299182904
Case,HugeLTNFROZEN-10,Huge,huge-0.3-1,0.6044419096797027,0.6640086206896552,0.5546825895663106
Case,HugeLTNFROZEN-100,Huge,huge-0.3-1,0.5374012023114656,0.6753246753246753,0.44626021370207414
Case,HugeLTNFROZEN-150,Huge,huge-0.3-1,0.4676921486382702,0.8611111111111112,0.321024512884978
Case,HugeLTNFROZEN-200,Huge,huge-0.3-1,0.5717207733471834,0.6321428571428571,0.5218416090509114
Case,HugeLTNFROZEN-25,Huge,huge-0.3-1,0.5530337037478128,0.8035714285714286,0.4215901948460088
Case,HugeLTNFROZEN-250,Huge,huge-0.3-1,0.5146272680005586,0.784375,0.3829352608422376
Case,HugeLTNFROZEN-300,Huge,huge-0.3-1,0.5525663148396898,0.815,0.4179761156505343
Case,HugeLTNFROZEN-50,Huge,huge-0.3-1,0.4827773324289326,0.8809523809523809,0.3324952859836581
