axis,ad,process_model,dataset_name,f1,precision,recall
Case,LargeDAE,Large,large-0.3-1,0.3032490974729242,0.6086956521739131,0.20192307692307693
Case,LargeDAE-Leaky-10,Large,large-0.3-1,0.23428761651131821,0.575,0.1471153846153846
Case,LargeDAE-Leaky-100,Large,large-0.3-1,0.35598539547095503,0.5803571428571429,0.2567307692307692
Case,LargeDAE-Leaky-150,Large,large-0.3-1,0.3083406717826142,0.6063829787234043,0.20673076923076922
Case,LargeDAE-Leaky-200,Large,large-0.3-1,0.4272507246784679,0.5878378378378378,0.3355769230769231
Case,LargeDAE-Leaky-25,Large,large-0.3-1,0.21104992005684842,0.5641025641025641,0.1298076923076923
Case,LargeDAE-Leaky-250,Large,large-0.3-1,0.39570354457572504,0.6,0.2951923076923077
Case,LargeDAE-Leaky-300,Large,large-0.3-1,0.4159869494290375,0.6219512195121951,0.3125
Case,LargeDAE-Leaky-350,Large,large-0.3-1,0.29077143441784326,0.5697674418604651,0.1951923076923077
Case,LargeDAE-Leaky-50,Large,large-0.3-1,0.3789398052051732,0.5785714285714285,0.28173076923076923
Case,LargeLTNFROZEN-10,Large,large-0.3-1,0.6289873871975611,0.5873917748917749,0.676923076923077
Case,LargeLTNFROZEN-100,Large,large-0.3-1,0.5847030176537091,0.6329787234042553,0.5432692307692308
Case,LargeLTNFROZEN-150,Large,large-0.3-1,0.6193308550185873,0.6263157894736842,0.6125
Case,LargeLTNFROZEN-200,Large,large-0.3-1,0.652695536897923,0.645,0.6605769230769231
Case,LargeLTNFROZEN-25,Large,large-0.3-1,0.6286515421871017,0.6333333333333333,0.6240384615384615
Case,LargeLTNFROZEN-250,Large,large-0.3-1,0.6768710644808101,0.5675008369601606,0.8384615384615384
Case,LargeLTNFROZEN-300,Large,large-0.3-1,0.5619723606279966,0.6277777777777778,0.5086538461538461
Case,LargeLTNFROZEN-350,Large,large-0.3-1,0.671105860595161,0.5660526315789474,0.8240384615384615
Case,LargeLTNFROZEN-50,Large,large-0.3-1,0.6227926180172115,0.6451612903225806,0.601923076923077
