axis,ad,process_model,dataset_name,f1,precision,recall
Case,MediumDAE,Medium,medium-0.3-1,0.22535211267605632,0.5,0.14545454545454545
Case,MediumDAE-Leaky-10,Medium,medium-0.3-1,0.256720563436167,0.6666666666666666,0.15896805896805896
Case,MediumDAE-Leaky-100,Medium,medium-0.3-1,0.22535211267605632,0.5,0.14545454545454545
Case,MediumDAE-Leaky-150,Medium,medium-0.3-1,0.22535211267605632,0.5,0.14545454545454545
Case,MediumDAE-Leaky-200,Medium,medium-0.3-1,0.33941004177403605,0.6764705882352942,0.22653562653562653
Case,MediumDAE-Leaky-25,Medium,medium-0.3-1,0.22535211267605632,0.5,0.14545454545454545
Case,MediumDAE-Leaky-250,Medium,medium-0.3-1,0.24720131433156306,0.5555555555555556,0.15896805896805896
Case,MediumDAE-Leaky-300,Medium,medium-0.3-1,0.24873852659906767,0.5714285714285714,0.15896805896805896
Case,MediumDAE-Leaky-350,Medium,medium-0.3-1,0.3722751868075238,0.7,0.25356265356265356
Case,MediumDAE-Leaky-50,Medium,medium-0.3-1,0.25134347685335057,0.6,0.15896805896805896
Case,MediumLTNFROZEN-10,Medium,medium-0.3-1,0.4140453419592049,0.6294642857142857,0.3084766584766585
Case,MediumLTNFROZEN-100,Medium,medium-0.3-1,0.40658848333113723,0.5782608695652174,0.31351351351351353
Case,MediumLTNFROZEN-150,Medium,medium-0.3-1,0.5239697968141955,0.6398809523809523,0.4436117936117936
Case,MediumLTNFROZEN-200,Medium,medium-0.3-1,0.5013440162137974,0.609982174688057,0.4255528255528256
Case,MediumLTNFROZEN-25,Medium,medium-0.3-1,0.3911170001067785,0.6178571428571429,0.2861179361179361
Case,MediumLTNFROZEN-250,Medium,medium-0.3-1,0.5076005950032457,0.5916305916305916,0.4444717444717445
Case,MediumLTNFROZEN-300,Medium,medium-0.3-1,0.5665464207395627,0.7428876244665719,0.4578624078624079
Case,MediumLTNFROZEN-350,Medium,medium-0.3-1,0.518035291858522,0.6123529411764705,0.44889434889434887
Case,MediumLTNFROZEN-50,Medium,medium-0.3-1,0.5158435351250691,0.6076127819548872,0.44815724815724817
