axis,ad,process_model,dataset_name,f1,precision,recall
Case,P2pDAE,P2P,p2p-0.3-1,0.3374939473954981,0.5289351851851851,0.2478043670937072
Case,P2pDAE-Leaky-10,P2P,p2p-0.3-1,0.3555112057074887,0.5408163265306123,0.2647852711304488
Case,P2pDAE-Leaky-100,P2P,p2p-0.3-1,0.3653606828779994,0.4782592574281901,0.295584562082024
Case,P2pDAE-Leaky-150,P2P,p2p-0.3-1,0.36960276585072427,0.49533371040723984,0.294778825235678
Case,P2pDAE-Leaky-200,P2P,p2p-0.3-1,0.36651666164482927,0.5470173041894354,0.27558214487148497
Case,P2pDAE-Leaky-25,P2P,p2p-0.3-1,0.40107762758077853,0.5545580110497238,0.3141366529691403
Case,P2pDAE-Leaky-250,P2P,p2p-0.3-1,0.35216195041028364,0.5275229357798166,0.2643018290226412
Case,P2pDAE-Leaky-300,P2P,p2p-0.3-1,0.403076386330652,0.5236587183308495,0.3276327451454355
Case,P2pDAE-Leaky-350,P2P,p2p-0.3-1,0.43343678936692304,0.5244327318206182,0.3693497703649988
Case,P2pDAE-Leaky-50,P2P,p2p-0.3-1,0.3540261462719529,0.5245885954841178,0.2671621948271694
Case,P2pLTNFROZEN-10,P2P,p2p-0.3-1,0.42134312437356897,0.38748327483565703,0.4616872129562485
Case,P2pLTNFROZEN-100,P2P,p2p-0.3-1,0.4056117729603405,0.49454711507467497,0.3437877689146725
Case,P2pLTNFROZEN-150,P2P,p2p-0.3-1,0.43872488946689386,0.45368027440395864,0.42472403513012646
Case,P2pLTNFROZEN-200,P2P,p2p-0.3-1,0.43978291812295994,0.46627051362734184,0.41614293771654176
Case,P2pLTNFROZEN-25,P2P,p2p-0.3-1,0.4324321489373313,0.4217960174086596,0.4436185641769398
Case,P2pLTNFROZEN-250,P2P,p2p-0.3-1,0.4161466293204965,0.39609147490435676,0.4383409878333736
Case,P2pLTNFROZEN-300,P2P,p2p-0.3-1,0.4296611163343032,0.4012120153515475,0.46245266296027715
Case,P2pLTNFROZEN-350,P2P,p2p-0.3-1,0.4654768759198849,0.5397829784087548,0.40915317057449035
Case,P2pLTNFROZEN-50,P2P,p2p-0.3-1,0.432984185426554,0.447013093289689,0.41980904036741595
