axis,ad,process_model,dataset_name,f1,precision,recall
Case,PaperLTNFROZEN-10,Paper,paper-0.3-1,0.5819186119086257,0.6304347826086957,0.5403361344537815
Case,PaperLTNFROZEN-100,Paper,paper-0.3-1,0.6043401778636812,0.6171875,0.5920168067226891
Case,PaperLTNFROZEN-150,Paper,paper-0.3-1,0.5578413824471617,0.6321585903083701,0.4991596638655462
Case,PaperLTNFROZEN-200,Paper,paper-0.3-1,0.5452710942280458,0.6140684410646388,0.4903361344537815
Case,PaperLTNFROZEN-25,Paper,paper-0.3-1,0.6102615147950412,0.631578947368421,0.5903361344537815
Case,PaperLTNFROZEN-250,Paper,paper-0.3-1,0.5739935764108156,0.6321585903083701,0.5256302521008404
Case,PaperLTNFROZEN-300,Paper,paper-0.3-1,0.5037297019479647,0.617816091954023,0.4252100840336135
Case,PaperLTNFROZEN-350,Paper,paper-0.3-1,0.6362171824122776,0.6293103448275862,0.6432773109243697
Case,PaperLTNFROZEN-400,Paper,paper-0.3-1,0.6603470333796709,0.6070175438596491,0.7239495798319328
Case,PaperLTNFROZEN-50,Paper,paper-0.3-1,0.6731158121583118,0.6321585903083701,0.7197478991596639
