axis,ad,process_model,dataset_name,f1,precision,recall
Case,PaperDAE,Paper,paper-0.3-1,0.3797212684306201,0.6060606060606061,0.27647058823529413
Case,PaperDAE-Leaky-10,Paper,paper-0.3-1,0.4664921465968586,0.61875,0.37436974789915967
Case,PaperDAE-Leaky-100,Paper,paper-0.3-1,0.4362464538518743,0.615625,0.3378151260504202
Case,PaperDAE-Leaky-150,Paper,paper-0.3-1,0.3570883552259133,0.5819672131147541,0.257563025210084
Case,PaperDAE-Leaky-200,Paper,paper-0.3-1,0.45595195138660094,0.6189024390243902,0.36092436974789915
Case,PaperDAE-Leaky-25,Paper,paper-0.3-1,0.3870367954070981,0.603448275862069,0.2848739495798319
Case,PaperDAE-Leaky-250,Paper,paper-0.3-1,0.353111369836829,0.6160714285714286,0.24747899159663866
Case,PaperDAE-Leaky-300,Paper,paper-0.3-1,0.385705274050763,0.6007462686567164,0.28403361344537814
Case,PaperDAE-Leaky-350,Paper,paper-0.3-1,0.4652282204848103,0.6189024390243902,0.3726890756302521
Case,PaperDAE-Leaky-400,Paper,paper-0.3-1,0.46751299634711196,0.6189024390243902,0.37563025210084033
Case,PaperDAE-Leaky-50,Paper,paper-0.3-1,0.4752509107970074,0.6073825503355704,0.3903361344537815
