axis,ad,process_model,dataset_name,f1,precision,recall
Case,SmallDAE,Small,small-0.3-1,0.48464961258955114,0.6481481481481481,0.3870215393058033
Case,SmallDAE-Leaky-10,Small,small-0.3-1,0.47863528923086057,0.6481481481481481,0.37940732610783373
Case,SmallDAE-Leaky-100,Small,small-0.3-1,0.6570546585507762,0.6481481481481481,0.6662093565646865
Case,SmallDAE-Leaky-150,Small,small-0.3-1,0.4886102474801379,0.6481481481481481,0.392097681437783
Case,SmallDAE-Leaky-200,Small,small-0.3-1,0.4806499429030882,0.6481481481481481,0.3819453971738236
Case,SmallDAE-Leaky-25,Small,small-0.3-1,0.49641667654307847,0.6481481481481481,0.4022499657017424
Case,SmallDAE-Leaky-250,Small,small-0.3-1,0.4866347735819492,0.6481481481481481,0.3895596103717931
Case,SmallDAE-Leaky-300,Small,small-0.3-1,0.5078474240469963,0.6481481481481481,0.41747839209768145
Case,SmallDAE-Leaky-350,Small,small-0.3-1,0.4642491426788676,0.6481481481481481,0.3616408286459048
Case,SmallDAE-Leaky-50,Small,small-0.3-1,0.49057610501746873,0.6481481481481481,0.3946357525037728
Case,SmallLTNFROZEN-10,Small,small-0.3-1,0.538345444066376,0.6598639455782314,0.4546234051310193
Case,SmallLTNFROZEN-100,Small,small-0.3-1,0.5695215865817995,0.660958904109589,0.5003086843188366
Case,SmallLTNFROZEN-150,Small,small-0.3-1,0.4678050818109441,0.6595744680851063,0.36242968857182056
Case,SmallLTNFROZEN-200,Small,small-0.3-1,0.5825057126195456,0.6597222222222222,0.5214707092879681
Case,SmallLTNFROZEN-25,Small,small-0.3-1,0.605955727136943,0.6595744680851063,0.5603992317190287
Case,SmallLTNFROZEN-250,Small,small-0.3-1,0.45466010752357605,0.6584507042253521,0.3472012621758815
Case,SmallLTNFROZEN-300,Small,small-0.3-1,0.487449843798939,0.660958904109589,0.3860954863492934
Case,SmallLTNFROZEN-350,Small,small-0.3-1,0.5107095828787109,0.6535947712418301,0.4190904102071614
Case,SmallLTNFROZEN-50,Small,small-0.3-1,0.5561319496032798,0.660958904109589,0.4800041157909178
