axis,ad,process_model,dataset_name,f1,precision,recall
Case,SmallDAE,Small,small-0.3-1,0.48656838988393003,0.6888888888888889,0.37610864745011086
Case,SmallDAE-Leaky-10,Small,small-0.3-1,0.4558607740734313,0.6739130434782609,0.344419807834442
Case,SmallDAE-Leaky-100,Small,small-0.3-1,0.4560281695247072,0.675,0.34432742054693277
Case,SmallDAE-Leaky-150,Small,small-0.3-1,0.38878165707565376,0.686046511627907,0.2712490761271249
Case,SmallDAE-Leaky-200,Small,small-0.3-1,0.42368014137397836,0.7,0.30376940133037694
Case,SmallDAE-Leaky-25,Small,small-0.3-1,0.4546093472760539,0.7236842105263158,0.33139320029563935
Case,SmallDAE-Leaky-250,Small,small-0.3-1,0.40846966245599503,0.6818181818181819,0.2915742793791574
Case,SmallDAE-Leaky-300,Small,small-0.3-1,0.42472669400242025,0.6888888888888889,0.3070029563932003
Case,SmallDAE-Leaky-350,Small,small-0.3-1,0.41530231839939996,0.7023809523809523,0.2948078344419808
Case,SmallDAE-Leaky-50,Small,small-0.3-1,0.43340869996057213,0.6574074074074074,0.3232631189948263
Case,SmallLTNFROZEN-10,Small,small-0.3-1,0.586795211663589,0.6390977443609023,0.5424057649667406
Case,SmallLTNFROZEN-100,Small,small-0.3-1,0.6420140390026293,0.6232394366197183,0.6619549150036954
Case,SmallLTNFROZEN-150,Small,small-0.3-1,0.5897253907633163,0.6317567567567568,0.5529379157427938
Case,SmallLTNFROZEN-200,Small,small-0.3-1,0.5713263533177888,0.6193548387096774,0.5302106430155211
Case,SmallLTNFROZEN-25,Small,small-0.3-1,0.6191171861572524,0.635593220338983,0.6034737620103474
Case,SmallLTNFROZEN-250,Small,small-0.3-1,0.6298130973515342,0.6335616438356164,0.6261086474501109
Case,SmallLTNFROZEN-300,Small,small-0.3-1,0.5350968596758139,0.6386138613861386,0.4604582409460458
Case,SmallLTNFROZEN-350,Small,small-0.3-1,0.6024418769387444,0.6356589147286822,0.5725240206947524
Case,SmallLTNFROZEN-50,Small,small-0.3-1,0.6584867075664622,0.624031007751938,0.696969696969697
