axis,ad,process_model,dataset_name,f1,precision,recall
Case,WideDAE,Wide,wide-0.3-1,0.5384201926384589,0.6583333333333333,0.45545977011494254
Case,WideDAE-Leaky-10,Wide,wide-0.3-1,0.489420605101839,0.6428571428571428,0.39511494252873564
Case,WideDAE-Leaky-100,Wide,wide-0.3-1,0.35953394633560937,0.652542372881356,0.2481211317418214
Case,WideDAE-Leaky-150,Wide,wide-0.3-1,0.44669826920956895,0.6666666666666666,0.3358753315649867
Case,WideDAE-Leaky-200,Wide,wide-0.3-1,0.5436838730362297,0.65625,0.464080459770115
Case,WideDAE-Leaky-25,Wide,wide-0.3-1,0.4710983992249849,0.6607142857142857,0.36604774535809015
Case,WideDAE-Leaky-250,Wide,wide-0.3-1,0.536704151164249,0.6532258064516129,0.45545977011494254
Case,WideDAE-Leaky-300,Wide,wide-0.3-1,0.536298442081464,0.6351351351351351,0.464080459770115
Case,WideDAE-Leaky-50,Wide,wide-0.3-1,0.5243271118868637,0.6343283582089552,0.44683908045977017
Case,WideLTNFROZEN-10,Wide,wide-0.3-1,0.5477368986636646,0.46882049629390915,0.6585985853227233
Case,WideLTNFROZEN-100,Wide,wide-0.3-1,0.5673709833066873,0.5925925925925926,0.5442086648983201
Case,WideLTNFROZEN-150,Wide,wide-0.3-1,0.5772328054225963,0.5738255033557047,0.5806808134394341
Case,WideLTNFROZEN-200,Wide,wide-0.3-1,0.4004493119910137,0.5827067669172932,0.30503978779840846
Case,WideLTNFROZEN-25,Wide,wide-0.3-1,0.5805125583765,0.5815638354700855,0.5794650751547303
Case,WideLTNFROZEN-250,Wide,wide-0.3-1,0.6140053876557262,0.6198071550869604,0.6083112290008842
Case,WideLTNFROZEN-300,Wide,wide-0.3-1,0.30610626133532964,0.5793650793650793,0.20800176834659595
Case,WideLTNFROZEN-50,Wide,wide-0.3-1,0.587740050683213,0.582089552238806,0.5935013262599469
