axis,ad,process_model,dataset_name,f1,precision,recall
Case,TestDAE,P2P,p2p-0.3-1,0.38116083942937234,0.7368421052631579,0.257070340826686
Case,TestDAE-Leaky-10,P2P,p2p-0.3-1,0.35243848276954,0.703125,0.23515429860607526
Case,TestDAE-Leaky-100,P2P,p2p-0.3-1,0.35555677847178274,0.875,0.2231085327532028
Case,TestDAE-Leaky-150,P2P,p2p-0.3-1,0.4914925046756596,0.5706276493914946,0.43163322858754327
Case,TestDAE-Leaky-200,P2P,p2p-0.3-1,0.37608504146792143,0.7051282051282051,0.2564257513496092
Case,TestDAE-Leaky-25,P2P,p2p-0.3-1,0.42762741603285326,0.6692307692307693,0.3141970832326162
Case,TestDAE-Leaky-250,P2P,p2p-0.3-1,0.3987198947949948,0.6585365853658537,0.28591571992587217
Case,TestDAE-Leaky-300,P2P,p2p-0.3-1,0.39200125185701784,0.8421052631578947,0.255458867133994
Case,TestDAE-Leaky-350,P2P,p2p-0.3-1,0.361276196434157,0.7368421052631579,0.23930384336475707
Case,TestDAE-Leaky-50,P2P,p2p-0.3-1,0.39947745742897783,0.7352941176470589,0.2742325356538554
Case,TestLTNFROZEN-10,P2P,p2p-0.3-1,0.44421083892691027,0.5472573839662447,0.373821609862219
Case,TestLTNFROZEN-100,P2P,p2p-0.3-1,0.5278129359146126,0.5154619970193741,0.5407702844251068
Case,TestLTNFROZEN-150,P2P,p2p-0.3-1,0.4456418584684326,0.5397012578616351,0.3795020546289582
Case,TestLTNFROZEN-200,P2P,p2p-0.3-1,0.5039807188293214,0.6000783699059561,0.4344130207074369
Case,TestLTNFROZEN-25,P2P,p2p-0.3-1,0.5207662168253046,0.5220398009950249,0.5194988316815727
Case,TestLTNFROZEN-250,P2P,p2p-0.3-1,0.5243769053603279,0.6089366515837105,0.46043832084441216
Case,TestLTNFROZEN-300,P2P,p2p-0.3-1,0.5078356953527042,0.5154499151103565,0.5004431552654903
Case,TestLTNFROZEN-350,P2P,p2p-0.3-1,0.49056472227024345,0.6574074074074074,0.39126581258560955
Case,TestLTNFROZEN-50,P2P,p2p-0.3-1,0.5522535884841201,0.6179337231968811,0.499194263153654
